Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 334,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE ENERO DEL 2000, CORRESPONDIENTES A LA CIRCULAR  Nº 116 DEL 04 DE ENERO DEL 2000.",4/01/2000,RESo334.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo334.doc,3,Resoluciones
RESOLUCIÓN N° 337,PRONUNCIAMIENTO SOBRE MEDIDAS PARA SOLUCIONAR UN CASO DE DUDAS SOBRE EL CUMPLIMIENTO DE NORMAS DE ORIGEN.,10/01/2000,RESo337.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo337.doc,3,Resoluciones
RESOLUCIÓN N° 336,PUBLICACION DE ACUERDOS SUSCRITOS EN DESARROLLO DEL CONVENIO DE COMPLEMENTACION EN EL SECTOR AUTOMOTOR.,10/01/2000,RESo336.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo336.doc,10,Resoluciones
RESOLUCIÓN N° 335,"RECURSO DE RECONSIDERACION PRESENTADO POR LA FEDERACION ECUATORIANA DE INDUSTRIAS PROCESADORAS DEL METALY PRODUCTORAS DE ACERO, MAQUINARIA Y EQUIPO (FEDIMETAL), EN CONTRA DE LA RESOLUCION 301 DE LA SECRETARIA GENERAL.",10/01/2000,RESo335.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo335.doc,18,Resoluciones
RESOLUCIÓN N° 339,"RECLAMACION PRESENTADA POR EL GOBIERNO DE ECUADOR CONTRA EL GOBIERNO DE VENEZUELA, POR RESTRICCION AL COMERCIO DE AZUCAR BLANCO.",14/01/2000,RESo339.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo339.doc,3,Resoluciones
RESOLUCIÓN N° 338,LIMITACION DE LOS DERECHOS VARIABLES ADICIONALES DEL SISTEMA ANDINO DE FRNAJAS DE PRECIOS APLICABLES AL MAIZ AMARILLO PARA EL PERIODO 01 DE FEBRERO AL 31 DE JULIO DEL 2000.,14/01/2000,RESo338.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo338.doc,2,Resoluciones
RESOLUCIÓN N° 340,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA PRIMERA QUINCENA DE FEBRERO DEL 2000, CORRESPONDIENTES A LA CIRCULAR Nº 117 DEL 17 DE ENERO DEL 2000.",17/01/2000,RESo340.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo340.doc,3,Resoluciones
RESOLUCIÓN N° 341,"POR LA CUAL SE DECLARA LA IMPROCEDENCIA DE LA SOLICITUD DE DECLARATORIA DE INCUMPLIMIENTO INTERPUESTA POR LOS SEÑORES ANDRES REGGIARDO Y OTROS, EN REPRESENTACION DEL PARLAMENTO ANDINO.",20/01/2000,RESo341.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo341.doc,6,Resoluciones
RESOLUCIÓN N° 342,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE FEBRERO DEL 2000, CORRESPONDIENTES A LA CIRCULAR Nº 118 DEL 1 DE FEBRERO DEL 2000.",1/02/2000,RESo342.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo342.doc,3,Resoluciones
DECISIÓN N° 475,DIRECTIVA Nº 1 SOBRE LA POLÍTICA EXTERIOR COMÚN.,4/02/2000,dec475.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/dec475.doc,4,Decisiones
